1060,884.783,-3.72214
399,0.67,9.62,-0.56
400,-0.3,14.18,0.81
401,0.5,17.43,0.7
402,-0.26,9.53,-0.44
403,0.19,9.52,-0.5
404,-0.3,14.2,1.73
405,0.37,14.23,1.15
406,-0.72,9.5,-0.38
407,0.67,9.65,-0.33
408,-0.3,14.21,3.8
409,0.38,14.25,2.59
410,-0.26,9.51,-0.22
411,0.01,4.53,-2.12
412,-0.69,9.51,-0.16
413,0.22,9.6,-0.28
414,-0.21,7.44,-2.08
415,0.25,10.3,-2.06
416,-0.22,9.52,0
417,0.69,9.57,-0.11
418,-0.23,10.95,-1.7
419,0.23,9.78,-1.24
420,-0.69,9.46,0.04
421,0.22,9.58,-0.05
422,-0.23,10.89,-1.17
423,0.71,9.69,-0.91
424,-0.23,9.59,0.21
425,0.7,9.59,0.1
426,-0.23,9.6,-0.67
427,0.23,9.7,-0.79
428,-0.7,9.67,0.27
429,0.22,9.57,0.15
430,-0.69,9.57,-0.61
431,0.7,9.61,-0.56
432,-0.25,14.18,0.81
433,0.56,17.47,0.7
434,-0.23,9.54,-0.44
435,0.22,9.52,-0.49
436,-0.25,14.19,1.73
437,0.42,14.24,1.15
438,-0.69,9.56,-0.39
439,0.7,9.62,-0.33
440,-0.25,14.25,3.81
441,0.42,14.26,2.59
442,-0.22,9.49,-0.22
443,0.02,4.53,-2.11
444,-0.66,9.51,-0.16
445,0.26,9.62,-0.28
446,-0.19,7.44,-2.08
447,0.29,10.27,-2.06
448,-0.19,9.49,0
449,0.73,9.58,-0.11
450,0.27,9.84,-1.25
451,-0.65,9.46,0.04
452,0.26,9.58,-0.05
453,-0.2,10.9,-1.17
454,0.74,9.65,-0.9
455,-0.19,9.61,0.21
456,0.73,9.57,0.1
457,-0.19,9.64,-0.67
458,0.26,9.69,-0.79
459,-0.67,9.68,0.27
460,0.26,9.57,0.15
461,-0.66,9.62,-0.61
462,0.73,9.61,-0.56
463,-0.2,14.19,0.81
464,-0.19,9.57,-0.44
465,0.26,9.66,-0.5
466,-0.2,14.19,1.73
467,0.47,14.24,1.15
468,-0.66,9.54,-0.38
469,0.73,9.6,-0.33
470,-0.2,14.25,3.81
471,0.47,14.25,2.59
472,-0.19,9.49,-0.22
473,0.04,4.53,-2.12
474,-0.62,9.47,-0.16
475,0.29,9.53,-0.27
476,-0.17,7.42,-2.08
477,0.33,10.26,-2.05
478,-0.17,9.48,0
479,0.76,9.52,-0.11
480,-0.17,10.85,-1.68
481,0.31,9.83,-1.25
482,-0.62,9.46,0.04
483,0.29,9.56,-0.05
484,-0.17,10.87,-1.17
485,0.77,9.66,-0.9
486,-0.17,9.63,0.21
487,0.76,9.56,0.1
488,-0.17,9.63,-0.67
489,0.3,9.68,-0.79
490,-0.63,9.66,0.27
491,0.29,9.56,0.15
492,-0.63,9.59,-0.61
493,-0.16,14.19,0.81
494,0.79,19.58,0.78
495,0.29,9.56,-0.5
496,-0.16,14.19,1.73
497,0.52,14.24,1.15
498,-0.62,9.51,-0.38
499,0.77,9.68,-0.34
500,-0.16,14.25,3.81
501,0.53,14.26,2.59
502,-0.17,9.52,-0.22
503,0.06,4.53,-2.12
504,-0.59,9.47,-0.16
505,0.33,9.57,-0.27
506,-0.14,7.42,-2.08
507,0.36,10.24,-2.05
508,-0.13,9.56,0
509,0.8,9.57,-0.11
510,-0.13,11.18,-1.74
511,0.34,9.84,-1.25
512,-0.59,9.52,0.04
513,0.32,9.51,-0.05
514,-0.13,11.07,-1.19
515,0.82,9.76,-0.91
516,-0.13,9.63,0.21
517,0.8,9.59,0.1
518,-0.13,9.67,-0.67
519,0.33,9.67,-0.79
520,-0.6,9.66,0.27
521,0.33,9.59,0.15
522,-0.59,9.52,-0.61
523,0.8,9.57,-0.56
524,-0.11,14.19,0.81
525,0.86,19.56,0.78
526,-0.13,9.56,-0.44
527,0.32,9.51,-0.49
528,-0.11,14.2,1.73
529,0.57,14.25,1.15
530,-0.59,9.51,-0.38
531,0.8,9.61,-0.33
532,-0.11,14.25,3.81
533,0.58,14.27,2.59
534,-0.13,9.5,-0.22
535,0.07,4.53,-2.12
536,-0.55,9.47,-0.16
537,0.36,9.51,-0.27
538,-0.12,7.43,-2.08
539,0.4,10.2,-2.04
540,-0.1,9.49,0
541,0.83,9.57,-0.11
542,-0.09,11.19,-1.74
543,0.37,9.83,-1.25
544,-0.56,9.53,0.04
545,0.36,9.57,-0.05
546,-0.09,11.18,-1.2
547,0.85,9.71,-0.91
548,-0.1,9.64,0.21
549,0.84,9.63,0.1
550,-0.09,11.17,-0.78
551,0.45,11.23,-0.91
552,-0.56,9.64,0.27
553,0.36,9.57,0.15
554,-0.56,9.54,-0.61
555,0.83,9.57,-0.56
556,-0.06,14.19,0.81
557,0.93,19.56,0.78
558,-0.1,9.54,-0.44
559,0.36,9.54,-0.5
560,-0.06,14.21,1.73
561,0.63,14.25,1.15
562,-0.56,9.49,-0.38
563,0.83,9.56,-0.33
564,-0.06,14.26,3.81
565,0.63,14.27,2.59
566,-0.1,9.52,-0.22
567,0.09,4.53,-2.12
568,-0.52,9.46,-0.16
569,0.39,9.53,-0.27
570,-0.09,7.42,-2.08
571,0.43,10.24,-2.05
572,-0.07,9.5,0
573,0.87,9.6,-0.11
574,-0.05,11.19,-1.74
575,0.4,9.75,-1.24
576,-0.53,9.58,0.04
577,0.39,9.55,-0.05
578,-0.05,11.17,-1.2
579,0.87,9.63,-0.9
580,-0.07,9.61,0.21
581,0.86,9.56,0.1
582,-0.07,9.67,-0.67
583,0.4,9.68,-0.79
584,-0.53,9.67,0.27
585,0.39,9.59,0.15
586,-0.53,9.55,-0.61
587,0.86,9.54,-0.55
588,-0.02,14.2,0.81
589,0.99,19.58,0.78
590,-0.07,9.55,-0.44
591,0.39,9.56,-0.5
592,-0.02,14.19,1.73
593,0.67,14.26,1.15
594,-0.53,9.53,-0.38
595,0.87,9.68,-0.34
596,-0.02,14.26,3.81
597,0.67,14.28,2.6
598,-0.07,9.47,-0.22
599,0.1,4.53,-2.12
600,-0.49,9.47,-0.16
601,0.42,9.51,-0.27
602,-0.06,7.42,-2.08
603,0.47,10.24,-2.05
604,-0.03,9.52,0
605,0.9,9.6,-0.11
606,-0.01,11.2,-1.74
607,0.44,9.8,-1.25
608,-0.49,9.53,0.04
609,0.42,9.55,-0.05
610,-0.01,11.18,-1.2
611,0.91,9.64,-0.9
612,-0.03,9.65,0.21
613,0.9,9.54,0.1
614,-0.03,9.5,-0.66
615,0.43,9.69,-0.79
616,-0.5,9.69,0.27
617,0.43,9.6,0.15
618,-0.49,9.5,-0.6
619,0.89,9.48,-0.55
620,0.03,14.14,0.81
621,1.06,19.58,0.78
622,-0.03,9.58,-0.44
623,0.43,9.56,-0.5
624,0.03,14.15,1.72
625,0.73,14.25,1.15
626,-0.49,9.49,-0.38
627,0.9,9.59,-0.33
628,0.03,14.26,3.81
629,0.73,14.28,2.6
630,-0.03,9.51,-0.22
631,0.12,4.53,-2.12
632,-0.46,9.49,-0.16
633,0.46,9.55,-0.27
634,-0.04,7.43,-2.08
635,0.5,10.14,-2.03
636,0,9.54,0
637,0.93,9.57,-0.11
638,0.02,11.19,-1.74
639,0.47,9.72,-1.24
640,-0.46,9.5,0.04
641,0.46,9.57,-0.05
642,0.02,11.19,-1.2
643,0.94,9.62,-0.9
644,0,9.68,0.21
645,0.94,9.61,0.1
646,0,9.6,-0.67
647,0.47,9.71,-0.79
648,-0.46,9.67,0.27
649,0.46,9.58,0.15
650,-0.46,9.54,-0.61
651,0.93,9.52,-0.55
652,0.08,14.2,0.81
653,0,9.57,-0.44
654,0.46,9.58,-0.5
655,0.08,14.22,1.73
656,0.78,14.25,1.15
657,-0.46,9.54,-0.38
658,0.93,9.56,-0.33
659,0.08,14.26,3.81
660,0.78,14.28,2.6
661,0,9.52,-0.22
662,0.14,4.52,-2.12
663,-0.42,9.49,-0.16
664,0.49,9.56,-0.27
665,-0.01,7.44,-2.08
666,0.53,10.15,-2.03
667,0.02,9.5,0
668,0.97,9.58,-0.11
669,0.06,11.2,-1.74
670,0.49,9.61,-1.22
671,-0.42,9.51,0.04
672,0.49,9.54,-0.05
673,0.06,11.19,-1.2
674,0.98,9.71,-0.91
675,0.02,9.65,0.21
676,0.98,9.69,0.1
677,0.02,9.6,-0.67
678,0.5,9.67,-0.79
679,-0.43,9.67,0.27
680,0.49,9.55,0.15
681,-0.42,9.51,-0.61
682,0.96,9.52,-0.55
683,0.12,14.21,0.81
684,2,30.98,1.24
685,0.02,9.58,-0.44
686,0.5,9.62,-0.5
687,0.12,14.22,1.73
688,0.82,14.26,1.15
689,-0.42,9.53,-0.38
690,0.97,9.62,-0.33
691,0.12,14.25,3.81
692,0.82,14.28,2.6
693,0.02,9.52,-0.22
694,0.15,4.52,-2.12
695,-0.39,9.5,-0.16
696,0.52,9.53,-0.27
697,0,7.45,-2.08
698,0.58,10.26,-2.06
699,0.05,9.51,0
700,1.01,9.64,-0.11
701,0.1,11.17,-1.74
702,0.53,9.64,-1.23
703,-0.39,9.49,0.04
704,0.52,9.54,-0.05
705,0.1,11.18,-1.2
706,1,9.61,-0.9
707,0.06,9.75,0.21
708,1.02,9.71,0.1
709,0.06,9.61,-0.67
710,0.53,9.59,-0.78
711,-0.39,9.61,0.27
712,0.53,9.59,0.15
713,-0.39,9.49,-0.6
714,1,9.55,-0.56
715,0.19,15.03,0.86
716,1.92,28.37,1.13
717,0.06,9.55,-0.44
718,0.54,9.82,-0.51
719,0.17,14.23,1.73
720,0.87,14.26,1.15
721,-0.39,9.49,-0.38
722,1.02,9.73,-0.34
723,0.17,14.25,3.81
724,0.87,14.28,2.6
725,0.05,9.53,-0.22
726,0.17,4.52,-2.11
727,-0.36,9.51,-0.16
728,0.56,9.59,-0.28
729,0.61,10.24,-2.05
730,0.09,9.53,0
731,1.04,9.63,-0.11
732,0.14,11.17,-1.74
733,0.57,9.67,-1.23
734,-0.36,9.51,0.04
735,0.56,9.61,-0.05
736,0.14,11.2,-1.2
737,1.06,9.79,-0.92
738,0.09,9.67,0.21
739,1.05,9.69,0.1
740,0.09,9.58,-0.67
741,0.57,9.66,-0.79
742,-0.36,9.67,0.27
743,0.56,9.55,0.15
744,-0.36,9.55,-0.61
745,1.03,9.56,-0.56
746,0.25,15.03,0.86
747,0.09,9.56,-0.44
748,0.6,10.12,-0.53
749,0.22,14.22,1.73
750,0.92,14.26,1.15
751,-0.36,9.52,-0.38
752,1.06,9.75,-0.34
753,0.22,14.25,3.81
754,0.93,14.29,2.6
755,0.09,9.54,-0.22
756,0.18,4.52,-2.11
757,-0.32,9.48,-0.16
758,0.59,9.57,-0.27
759,0.06,7.46,-2.09
760,0.64,10.15,-2.04
761,0.12,9.53,0
762,1.08,9.63,-0.11
763,0.18,11.18,-1.74
764,0.6,9.64,-1.23
765,-0.32,9.5,0.04
766,0.6,9.59,-0.05
767,0.18,11.17,-1.2
768,1.09,9.72,-0.91
769,0.13,9.7,0.21
770,1.08,9.69,0.1
771,0.12,9.56,-0.66
772,0.6,9.65,-0.79
773,-0.33,9.66,0.27
774,0.6,9.63,0.15
775,-0.33,9.67,-0.62
776,1.2,10.57,-0.62
777,0.3,15.04,0.86
778,2.15,28.67,1.15
779,0.12,9.57,-0.44
780,0.73,11.28,-0.59
781,0.27,14.23,1.73
782,0.98,14.26,1.15
783,-0.32,9.5,-0.38
784,1.08,9.64,-0.34
785,0.28,14.24,3.81
786,0.98,14.29,2.6
787,0.12,9.53,-0.22
788,0.2,4.52,-2.12
789,-0.29,9.51,-0.16
790,0.63,9.63,-0.28
791,0.08,7.44,-2.08
792,0.68,10.19,-2.04
793,0.15,9.54,0
794,1.11,9.67,-0.11
795,0.21,11.23,-1.75
796,0.63,9.65,-1.23
797,-0.29,9.5,0.04
798,0.62,9.57,-0.05
799,0.21,11.23,-1.21
800,0.16,9.66,0.21
801,1.11,9.63,0.1
802,0.15,9.58,-0.67
803,0.63,9.63,-0.78
804,-0.3,9.68,0.27
805,0.63,9.66,0.15
806,-0.3,9.69,-0.62
807,1.23,10.57,-0.62
808,0.35,15.05,0.86
809,2.17,27.89,1.12
810,0.15,9.54,-0.44
811,0.63,9.65,-0.5
812,0.32,14.23,1.74
813,1.02,14.27,1.16
814,-0.29,9.5,-0.38
815,1.1,9.59,-0.33
816,0.32,14.24,3.81
817,1.02,14.29,2.6
818,0.15,9.52,-0.22
819,0.21,4.51,-2.11
820,-0.26,9.48,-0.16
821,0.67,9.64,-0.28
822,0.11,7.43,-2.08
823,0.71,10.14,-2.03
824,0.19,9.57,0
825,1.14,9.64,-0.11
826,0.25,11.24,-1.75
827,0.67,9.67,-1.23
828,-0.26,9.5,0.04
829,0.66,9.58,-0.05
830,0.25,11.22,-1.21
831,1.15,9.66,-0.91
832,0.19,9.7,0.21
833,1.15,9.7,0.1
834,0.19,9.6,-0.67
835,0.66,9.59,-0.78
836,-0.26,9.77,0.27
837,0.66,9.63,0.15
838,-0.26,9.58,-0.61
839,0.4,15.06,0.86
840,2.34,28.62,1.15
841,0.19,9.54,-0.44
842,0.67,9.65,-0.5
843,0.37,14.24,1.74
844,1.07,14.27,1.16
845,-0.26,9.49,-0.38
846,1.13,9.53,-0.33
847,0.37,14.25,3.81
848,1.07,14.29,2.6
849,0.19,9.53,-0.22
850,0.23,4.51,-2.11
851,-0.22,9.46,-0.16
852,0.7,9.62,-0.28
853,0.13,7.44,-2.08
854,0.74,10.05,-2.02
855,0.22,9.52,0
856,1.18,9.63,-0.11
857,0.7,9.67,-1.23
858,-0.22,9.48,0.04
859,0.7,9.59,-0.05
860,0.23,9.8,-1.05
861,0.23,9.68,0.21
862,1.17,9.6,0.1
863,0.22,9.55,-0.66
864,0.7,9.64,-0.79
865,-0.22,9.7,0.27
866,0.7,9.67,0.15
867,-0.22,9.59,-0.61
868,1.18,9.62,-0.56
869,0.46,15.06,0.86
870,0.22,9.49,-0.44
871,0.69,9.56,-0.5
872,0.42,14.24,1.74
873,1.13,14.28,1.16
874,-0.22,9.54,-0.38
875,1.18,9.6,-0.33
876,0.43,14.24,3.81
877,1.13,14.29,2.6
878,0.23,9.57,-0.22
879,0.25,4.51,-2.11
880,-0.19,9.49,-0.16
881,0.74,9.63,-0.28
882,0.16,7.46,-2.09
883,0.79,10.18,-2.04
884,0.26,9.55,0
885,1.22,9.68,-0.11
886,0.33,11.21,-1.74
887,0.74,9.69,-1.24
888,-0.19,9.5,0.04
889,0.73,9.6,-0.05
890,0.27,9.81,-1.05
891,1.21,9.63,-0.9
892,0.26,9.68,0.21
893,1.22,9.64,0.1
894,0.26,9.54,-0.66
895,0.73,9.62,-0.78
896,-0.19,9.69,0.27
897,0.74,9.73,0.16
898,-0.19,9.57,-0.61
899,1.24,9.8,-0.57
900,0.51,15.08,0.86
901,2.63,29.53,1.18
902,0.26,9.52,-0.44
903,0.73,9.57,-0.5
904,0.47,14.23,1.74
905,1.18,14.27,1.16
906,-0.19,9.55,-0.38
907,1.21,9.61,-0.33
908,0.48,14.25,3.81
909,1.18,14.3,2.61
910,0.26,9.62,-0.22
911,0.26,4.52,-2.12
912,-0.17,9.5,-0.16
913,0.77,9.64,-0.28
914,0.19,7.47,-2.09
915,0.78,9.76,-1.96
916,0.29,9.54,0
917,1.24,9.61,-0.11
918,0.37,11.21,-1.74
919,0.77,9.67,-1.23
920,-0.17,9.53,0.04
921,0.77,9.6,-0.05
922,0.3,9.82,-1.06
923,1.25,9.62,-0.9
924,0.3,9.67,0.21
925,1.25,9.63,0.1
926,0.29,9.53,-0.66
